deal_id,creator_id,brand,niche,platform,content_format,follower_count,follower_tier,engagement_rate,offered_rate_usd,market_rate_usd,offer_vs_market_pct,negotiated_rate_usd,usage_rights_included,usage_rights_fee_usd,exclusivity_months,exclusivity_fee_usd,total_deal_value_usd,payment_terms_days,kill_fee_included,revision_rounds_allowed,deal_date,status,used_ai_benchmark,rate_recovered_usd,offer_percentile,is_below_market,market_gap_usd
DEA00001,CRE0564,Airtable,Comedy & Entertainment,Substack,Integration,371764,Mid,0.6041,7847.71,25373.38,-69.1,10924.52,False,0.0,0,0.0,10924.52,30,False,Unlimited,2025-12-12,In Progress,True,3076.81,0.25,True,17525.67
DEA00002,CRE0438,Codecademy,Science & Space,Substack,Dedicated Video,316764,Mid,0.4564,20034.76,39441.3,-49.2,25809.52,True,10054.86,12,25809.52,61673.9,45,False,5,2025-09-22,Completed,True,5774.76,1.0,True,19406.54
DEA00003,CRE0558,Hover,Music & Audio Production,Instagram,TikTok,95858,Micro,0.0271,575.01,1292.87,-55.5,709.0,True,252.35,3,177.25,1138.6,30,True,5,2025-06-14,Completed,True,133.99,0.778,True,717.86
DEA00004,CRE0068,Headspace,Gaming & Esports,Substack,Dedicated Video,900304,Macro,0.1261,37012.33,46034.65,-19.6,48336.38,False,0.0,3,12084.1,60420.48,45,False,Unlimited,2026-01-12,In Progress,True,11324.05,1.0,True,9022.32
DEA00005,CRE0114,Asana,Beauty & Fashion,YouTube,Integration,339585,Mid,0.0525,2881.76,6815.44,-57.7,3730.08,True,1219.36,2,621.68,5571.12,30,True,2,2025-05-11,Completed,False,848.32,0.25,True,3933.68
DEA00006,CRE0570,Monday.com,Science & Space,Twitter/X,Story Series,126717,Mid,0.0217,671.09,1170.94,-42.7,718.32,False,0.0,0,0.0,718.32,45,False,2,2025-03-27,In Progress,True,47.23,0.25,True,499.85
DEA00007,CRE0471,Raycon,Pet Care,Substack,Integration,229347,Mid,0.5729,5766.54,16189.32,-64.4,7109.33,False,0.0,12,7109.33,14218.66,60,True,3,2025-10-13,Declined,True,1342.79,0.286,True,10422.78
DEA00008,CRE0584,Betterment,Food & Cooking,Substack,TikTok,30054,Micro,0.6029,1045.08,1690.31,-38.2,1106.13,True,374.44,2,184.36,1664.93,30,False,Unlimited,2026-02-17,Completed,True,61.05,0.294,True,645.23
DEA00009,CRE0374,Monday.com,Photography & Videography,YouTube,TikTok,79221,Micro,0.0524,747.29,1077.2,-30.6,989.13,False,0.0,12,989.13,1978.26,15,False,1,2025-09-19,Completed,True,241.84,1.0,True,329.91
DEA00010,CRE0374,MVMT Watches,Finance & Investing,YouTube,Integration,325013,Mid,0.0182,2644.71,7519.84,-64.8,3300.47,True,1607.98,1,275.04,5183.49,90,False,Unlimited,2025-11-08,Completed,True,655.76,0.4,True,4875.13
DEA00011,CRE0184,ExpressVPN,Home Decor & Interior Design,Substack,Newsletter,300452,Mid,0.4729,12517.99,20634.86,-39.3,17049.27,True,5873.57,12,17049.27,39972.11,60,True,2,2025-03-27,In Progress,False,4531.28,0.75,True,8116.87
DEA00012,CRE0349,MasterClass,Sustainable Living,TikTok,Story Series,381077,Mid,0.1087,2973.9,4886.84,-39.1,3485.9,False,0.0,0,0.0,3485.9,90,True,1,2025-08-25,Declined,False,512.0,0.75,True,1912.94
DEA00013,CRE0034,Manscaped,Finance & Investing,LinkedIn,TikTok,67407,Micro,0.0251,446.16,1348.37,-66.9,496.2,True,211.39,12,496.2,1203.79,90,True,1,2025-09-23,Completed,False,50.04,0.4,True,902.21
DEA00014,CRE0103,Magic Spoon,Gaming & Esports,Twitter/X,Dedicated Video,53955,Micro,0.0111,756.35,1427.95,-47.0,978.74,True,378.19,1,81.56,1438.49,30,False,1,2025-12-06,Completed,True,222.39,0.75,True,671.6
DEA00015,CRE0454,Public,Comedy & Entertainment,Substack,Reel,79024,Micro,0.6059,2856.65,4592.92,-37.8,4296.88,True,1760.58,1,358.07,6415.53,30,True,1,2026-03-16,Completed,False,1440.23,0.714,True,1736.27
DEA00016,CRE0406,Hover,Sustainable Living,TikTok,Integration,312615,Mid,0.0476,2831.26,5649.24,-49.9,3949.5,False,0.0,0,0.0,3949.5,15,True,5,2026-02-14,In Progress,False,1118.24,0.625,True,2817.98
DEA00017,CRE0275,Monday.com,Photography & Videography,TikTok,TikTok,177627,Mid,0.0737,1496.99,2648.06,-43.5,1968.74,False,0.0,12,1968.74,3937.48,15,False,1,2025-07-05,Completed,False,471.75,0.143,True,1151.07
