niche,content_format,platform,total_pieces,avg_views,avg_revenue,total_revenue,avg_production_hours,avg_revenue_per_hour,converting_pieces,avg_engagement_likes,avg_saves,conversion_rate,revenue_per_view
Beauty & Fashion,Instagram Post,Instagram,5,22945.8,645.736,3228.68,1.3800000000000001,765.1479999999999,1,1791.4,877.6,0.2,0.028142
Beauty & Fashion,Instagram Post,LinkedIn,5,199337.4,2639.448,13197.24,1.06,2391.072,2,12616.0,7984.4,0.4,0.013241
Beauty & Fashion,Instagram Post,Substack,3,14063.0,1255.0633333333333,3765.19,1.3666666666666665,1182.4833333333333,1,1204.3333333333333,416.6666666666667,0.3333,0.089246
Beauty & Fashion,Instagram Post,TikTok,2,24947.5,0.0,0.0,1.05,0.0,0,2297.0,723.0,0.0,0.0
Beauty & Fashion,Instagram Post,Twitter/X,5,40029.4,0.0,0.0,1.3199999999999998,0.0,0,2852.6,1422.6,0.0,0.0
Beauty & Fashion,Instagram Post,YouTube,10,60079.1,819.8280000000001,8198.28,1.1400000000000001,687.013,1,4113.1,959.1,0.1,0.013646
Beauty & Fashion,Instagram Reel,Instagram,4,9785.0,945.375,3781.5,2.225,339.7975,1,581.25,235.5,0.25,0.096615
Beauty & Fashion,Instagram Reel,LinkedIn,5,68208.2,718.63,3593.15,2.8,197.49,1,5250.4,1561.4,0.2,0.010536
Beauty & Fashion,Instagram Reel,Substack,5,84346.2,4168.68,20843.4,2.4,1087.644,1,6776.0,2365.4,0.2,0.049423
Beauty & Fashion,Instagram Reel,TikTok,8,36071.125,1280.435,10243.48,2.3,700.7950000000001,2,3261.125,1144.875,0.25,0.035498
Beauty & Fashion,Instagram Reel,Twitter/X,6,43213.5,1332.6316666666667,7995.79,2.9499999999999997,386.58500000000004,1,3776.6666666666665,561.5,0.1667,0.030838
Beauty & Fashion,Instagram Reel,YouTube,7,43117.142857142855,4809.071428571428,33663.5,2.585714285714286,1789.6542857142856,2,2699.1428571428573,924.2857142857143,0.2857,0.111535
Beauty & Fashion,Instagram Story,Instagram,6,57685.666666666664,2722.9016666666666,16337.41,0.3166666666666667,11267.56,1,4387.0,1279.8333333333333,0.1667,0.047202
Beauty & Fashion,Instagram Story,LinkedIn,5,13881.2,630.6800000000001,3153.4,0.26,2212.0299999999997,1,1010.2,352.4,0.2,0.045434
Beauty & Fashion,Instagram Story,Substack,5,44391.0,2366.55,11832.75,0.34,6633.780000000001,2,3361.2,952.4,0.4,0.053311
Beauty & Fashion,Instagram Story,TikTok,3,17429.0,0.0,0.0,0.3333333333333333,0.0,0,679.3333333333334,632.0,0.0,0.0
Beauty & Fashion,Instagram Story,Twitter/X,6,309861.8333333333,15769.323333333334,94615.94,0.3166666666666667,137913.7,2,26848.0,12902.833333333334,0.3333,0.050891
Beauty & Fashion,Instagram Story,YouTube,7,50278.42857142857,6598.862857142857,46192.04,0.35714285714285715,18036.077142857142,4,3329.1428571428573,1767.2857142857142,0.5714,0.131246
Beauty & Fashion,LinkedIn Post,Instagram,6,141296.16666666666,15371.625,92229.75,0.6833333333333332,16960.583333333332,2,8275.666666666666,6010.666666666667,0.3333,0.10879
Beauty & Fashion,LinkedIn Post,LinkedIn,5,23753.6,3128.174,15640.87,0.74,4827.2480000000005,1,2075.2,803.8,0.2,0.131693
Beauty & Fashion,LinkedIn Post,Substack,3,8041.0,0.0,0.0,0.9333333333333332,0.0,0,514.3333333333334,176.0,0.0,0.0
Beauty & Fashion,LinkedIn Post,TikTok,6,21275.166666666668,0.0,0.0,0.9333333333333332,0.0,0,1331.6666666666667,455.3333333333333,0.0,0.0
Beauty & Fashion,LinkedIn Post,Twitter/X,2,45899.5,0.0,0.0,0.8500000000000001,0.0,0,1327.0,788.0,0.0,0.0
Beauty & Fashion,LinkedIn Post,YouTube,5,24030.2,12669.378,63346.89,0.76,20534.954,1,1490.4,506.0,0.2,0.527227
Beauty & Fashion,Substack Issue,Instagram,4,180798.5,822.1125,3288.45,2.6,241.5125,1,4565.0,2634.25,0.25,0.004547
Beauty & Fashion,Substack Issue,LinkedIn,4,41890.25,3967.965,15871.86,2.975,1887.195,1,4571.0,1135.25,0.25,0.094723
Beauty & Fashion,Substack Issue,Substack,3,11580.0,0.0,0.0,2.466666666666667,0.0,0,1075.6666666666667,326.3333333333333,0.0,0.0
Beauty & Fashion,Substack Issue,TikTok,7,29213.14285714286,0.0,0.0,3.542857142857143,0.0,0,1886.7142857142858,807.4285714285714,0.0,0.0
Beauty & Fashion,Substack Issue,Twitter/X,2,71057.0,0.0,0.0,1.7,0.0,0,5105.0,1325.5,0.0,0.0
Beauty & Fashion,Substack Issue,YouTube,8,79031.875,0.0,0.0,2.2,0.0,0,4880.625,1997.75,0.0,0.0
Beauty & Fashion,TikTok,Instagram,4,13125.0,0.0,0.0,1.85,0.0,0,907.5,437.75,0.0,0.0
Beauty & Fashion,TikTok,LinkedIn,7,32393.714285714286,6705.311428571428,46937.18,1.9000000000000001,2855.5385714285717,4,1660.7142857142858,888.1428571428571,0.5714,0.206994
Beauty & Fashion,TikTok,Substack,6,70208.33333333333,387.85833333333335,2327.15,1.75,412.88166666666666,1,5014.833333333333,2751.0,0.1667,0.005524
Beauty & Fashion,TikTok,TikTok,8,20675.25,1197.01875,9576.15,1.8,854.4175,2,1932.625,663.125,0.25,0.057896
Beauty & Fashion,TikTok,Twitter/X,2,33683.0,3674.575,7349.15,2.05,2011.47,1,2230.5,841.5,0.5,0.109093
Beauty & Fashion,TikTok,YouTube,7,104469.85714285714,0.0,0.0,1.9,0.0,0,6793.142857142857,3206.8571428571427,0.0,0.0
Beauty & Fashion,YouTube Short,Instagram,9,48780.88888888889,17239.075555555555,155151.68,1.1222222222222222,23715.681111111113,4,3074.222222222222,1466.111111111111,0.4444,0.353398
