checkout_id,creator_id,product_id,niche,product_price_usd,abandon_stage,visitor_source,recovery_email_sent,time_to_recovery_email_hours,ai_personalised_email,recovery_email_opened,recovered,recovery_revenue_usd,abandon_date,abandon_hour,device_type
CHK00001,CRE0254,PRD01514,Language Learning,297,Final Review,Direct,False,,False,False,False,0,2026-02-06,13,Mobile
CHK00002,CRE0059,PRD00748,Finance & Investing,67,Payment Info,Google,True,0.8,False,True,False,0,2026-02-09,23,Desktop
CHK00003,CRE0531,PRD02008,Food & Cooking,67,Added to Cart,YouTube,True,3.0,True,False,False,0,2025-12-23,1,Tablet
CHK00004,CRE0046,PRD02125,Sustainable Living,27,Final Review,YouTube,False,,False,False,False,0,2026-02-19,13,Mobile
CHK00005,CRE0439,PRD01286,Comedy & Entertainment,17,Payment Info,TikTok,True,3.9,False,False,False,0,2025-09-22,0,Mobile
CHK00006,CRE0059,PRD00083,Language Learning,197,Added to Cart,TikTok,True,1.2,False,True,False,0,2026-02-26,11,Mobile
CHK00007,CRE0111,PRD00317,Comedy & Entertainment,497,Final Review,Google,True,3.1,True,False,False,0,2026-01-12,4,Mobile
CHK00008,CRE0227,PRD01532,Personal Development,17,Started Checkout,TikTok,True,1.9,True,True,False,0,2025-11-18,8,Mobile
CHK00009,CRE0018,PRD01397,Business & Entrepreneurship,67,Final Review,YouTube,True,3.2,False,True,False,0,2026-01-22,22,Tablet
CHK00010,CRE0547,PRD00594,Gaming & Esports,9,Started Checkout,Instagram,True,1.4,False,False,True,9,2026-03-02,22,Tablet
CHK00011,CRE0356,PRD01579,Food & Cooking,67,Started Checkout,Instagram,True,1.5,True,True,False,0,2026-01-19,21,Mobile
CHK00012,CRE0090,PRD01970,Personal Development,9,Final Review,Email,True,3.5,True,False,False,0,2025-12-07,6,Desktop
CHK00013,CRE0029,PRD00588,Technology & Software,47,Payment Info,Email,True,2.4,True,False,False,0,2025-12-10,7,Desktop
CHK00014,CRE0442,PRD00429,Language Learning,497,Started Checkout,TikTok,False,,False,False,False,0,2025-09-23,11,Mobile
CHK00015,CRE0054,PRD01250,Parenting & Family,127,Payment Info,TikTok,True,1.0,False,False,False,0,2025-12-07,0,Tablet
CHK00016,CRE0250,PRD00847,Pet Care,37,Added to Cart,Instagram,True,1.6,True,False,False,0,2025-09-29,9,Tablet
CHK00017,CRE0489,PRD02181,Technology & Software,197,Added to Cart,TikTok,True,2.5,False,False,False,0,2025-11-14,3,Desktop
CHK00018,CRE0102,PRD01193,Photography & Videography,297,Added to Cart,Direct,True,2.0,True,False,False,0,2025-12-07,3,Mobile
CHK00019,CRE0342,PRD00654,Finance & Investing,47,Started Checkout,Email,True,2.9,True,True,False,0,2026-02-05,8,Mobile
CHK00020,CRE0129,PRD00232,Education & Online Courses,497,Payment Info,Google,False,,False,False,False,0,2025-12-21,15,Mobile
CHK00021,CRE0432,PRD01352,Gaming & Esports,497,Started Checkout,TikTok,False,,False,False,False,0,2026-02-03,9,Desktop
CHK00022,CRE0037,PRD02050,Pet Care,17,Started Checkout,Instagram,False,,False,False,False,0,2026-03-04,16,Mobile
CHK00023,CRE0156,PRD00567,Parenting & Family,297,Started Checkout,Email,True,3.2,True,True,False,0,2025-11-14,10,Desktop
CHK00024,CRE0070,PRD02003,Finance & Investing,97,Added to Cart,Google,True,3.4,False,True,False,0,2026-03-04,4,Mobile
CHK00025,CRE0195,PRD02179,Photography & Videography,97,Added to Cart,TikTok,True,2.5,True,True,True,97,2025-11-08,19,Mobile
CHK00026,CRE0041,PRD00807,Food & Cooking,27,Started Checkout,TikTok,True,2.8,True,True,False,0,2025-09-25,19,Mobile
CHK00027,CRE0565,PRD01375,Gaming & Esports,67,Added to Cart,YouTube,False,,False,False,False,0,2026-02-24,9,Mobile
CHK00028,CRE0331,PRD01828,Music & Audio Production,297,Started Checkout,Instagram,True,2.0,False,True,False,0,2025-09-23,14,Tablet
CHK00029,CRE0153,PRD00950,Music & Audio Production,97,Final Review,YouTube,True,3.7,True,True,False,0,2025-10-08,0,Desktop
CHK00030,CRE0231,PRD01096,Comedy & Entertainment,47,Added to Cart,Direct,True,2.2,False,False,False,0,2026-03-04,1,Mobile
CHK00031,CRE0466,PRD02347,Education & Online Courses,47,Started Checkout,TikTok,True,3.3,False,False,False,0,2025-09-22,9,Tablet
CHK00032,CRE0012,PRD00005,Food & Cooking,9,Payment Info,Direct,True,3.1,True,True,False,0,2026-02-06,5,Desktop
CHK00033,CRE0599,PRD02347,Personal Development,297,Started Checkout,Direct,True,2.4,True,True,False,0,2025-10-26,0,Desktop
CHK00034,CRE0027,PRD00312,Education & Online Courses,297,Added to Cart,Email,True,3.0,True,True,False,0,2025-12-01,7,Mobile
CHK00035,CRE0281,PRD02386,Technology & Software,67,Added to Cart,Instagram,True,2.3,False,True,False,0,2026-01-23,4,Mobile
CHK00036,CRE0043,PRD01298,Personal Development,127,Payment Info,Google,False,,False,False,False,0,2025-11-17,3,Mobile
CHK00037,CRE0116,PRD00850,Travel & Adventure,297,Added to Cart,TikTok,False,,False,False,False,0,2025-11-20,17,Tablet
CHK00038,CRE0456,PRD00879,Education & Online Courses,297,Added to Cart,Direct,True,3.3,False,False,False,0,2025-12-05,10,Mobile
CHK00039,CRE0426,PRD00877,Photography & Videography,27,Started Checkout,Direct,False,,False,False,False,0,2025-11-07,10,Mobile
