creator_id,niche,platform,week_number,week_date,follower_count,weekly_follower_change,engagement_rate,save_rate,watch_time_pct,comment_sentiment_score,share_to_view_ratio,new_viewer_ratio,unsubscribe_rate,post_frequency_per_week,days_since_community_post,health_score,risk_level,algorithm_penalty_active
CRE0001,Food & Cooking,Twitter/X,1,2025-03-27,106263,1166,0.0226,0.0027,0.325,0.627,0.0025,0.524,0.0021,4.8,2,62.4,Watch,False
CRE0001,Food & Cooking,Twitter/X,2,2025-04-03,105026,-71,0.0226,0.0023,0.453,0.783,0.0029,0.27,0.0012,4.2,8,64.5,Watch,False
CRE0001,Food & Cooking,Twitter/X,3,2025-04-10,105824,727,0.0232,0.0032,0.339,0.889,0.0018,0.449,0.0066,5.4,12,62.9,Watch,False
CRE0001,Food & Cooking,Twitter/X,4,2025-04-17,105057,-40,0.0273,0.0068,0.563,0.69,0.0035,0.487,0.0063,5.6,4,69.8,Watch,False
CRE0001,Food & Cooking,Twitter/X,5,2025-04-24,104443,-654,0.0273,0.0064,0.528,0.803,0.0029,0.261,0.0074,2.9,12,59.9,Watch,False
CRE0001,Food & Cooking,Twitter/X,6,2025-05-01,106075,978,0.0234,0.0037,0.452,0.696,0.0026,0.45,0.0058,2.4,4,60.5,Watch,False
CRE0001,Food & Cooking,Twitter/X,7,2025-05-08,105948,851,0.0276,0.0032,0.436,0.755,0.0022,0.389,0.0049,1.8,7,58.6,Watch,False
CRE0001,Food & Cooking,Twitter/X,8,2025-05-15,107137,2040,0.0274,0.006,0.401,0.727,0.0015,0.405,0.0026,4.0,5,64.5,Watch,False
CRE0001,Food & Cooking,Twitter/X,9,2025-05-22,105490,393,0.0247,0.0067,0.429,0.797,0.002,0.267,0.0057,2.8,21,58.0,Watch,False
CRE0001,Food & Cooking,Twitter/X,10,2025-05-29,105122,25,0.0222,0.0053,0.407,0.771,0.002,0.515,0.0013,1.6,16,64.8,Watch,False
CRE0001,Food & Cooking,Twitter/X,11,2025-06-05,103929,-1168,0.028,0.0068,0.397,0.766,0.0017,0.317,0.003,5.2,11,64.4,Watch,False
CRE0001,Food & Cooking,Twitter/X,12,2025-06-12,104652,-445,0.0242,0.0053,0.447,0.823,0.0032,0.292,0.0074,3.2,7,58.7,Watch,False
CRE0001,Food & Cooking,Twitter/X,13,2025-06-19,106215,1118,0.0239,0.0069,0.371,0.823,0.0029,0.436,0.0052,2.9,12,61.4,Watch,False
CRE0001,Food & Cooking,Twitter/X,14,2025-06-26,104562,-535,0.0241,0.0044,0.435,0.552,0.0031,0.539,0.006,2.5,16,58.5,Watch,False
CRE0001,Food & Cooking,Twitter/X,15,2025-07-03,107339,2242,0.022,0.0062,0.43,0.545,0.0032,0.523,0.0025,2.9,4,63.2,Watch,False
CRE0001,Food & Cooking,Twitter/X,16,2025-07-10,106205,1108,0.0265,0.0066,0.473,0.737,0.0031,0.466,0.003,4.4,3,70.8,Safe,False
