creator_id,username,niche,primary_platform,secondary_platform,follower_count,follower_tier,engagement_rate,monthly_revenue_usd,years_active,email_list_size,country,audience_age_group,audience_gender_primary,posts_per_week,joined_date
CRE0001,sean20,Food & Cooking,YouTube,Substack,228393,Mid,0.0433,2869.32,1.2,17095,Sweden,18-24,Female,2.3,2023-11-19
CRE0002,sarah75,Finance & Investing,Twitter/X,LinkedIn,95181,Micro,0.0297,1112.68,2.2,9194,Ghana,18-24,Female,5.2,2022-01-12
CRE0003,csmith,Business & Entrepreneurship,Instagram,LinkedIn,54118,Micro,0.0432,433.19,5.0,6760,Palestinian Territory,45+,Mixed,1.7,2022-06-18
CRE0004,john89,Travel & Adventure,Twitter/X,TikTok,92397,Micro,0.0235,934.02,4.8,10310,Greenland,18-24,Mixed,2.4,2021-06-18
CRE0005,friedmankatelyn,Travel & Adventure,Instagram,LinkedIn,699295,Macro,0.0324,5229.59,3.2,74910,Guinea-Bissau,18-24,Mixed,4.8,2024-03-16
CRE0006,rossethan,Photography & Videography,Instagram,Substack,241530,Mid,0.0497,4300.96,2.1,15012,Russian Federation,18-24,Female,5.9,2021-10-03
CRE0007,perezjack,Comedy & Entertainment,TikTok,Twitter/X,84341,Micro,0.0712,1235.18,7.1,8735,Burkina Faso,25-34,Male,1.8,2024-07-06
CRE0008,paul78,Pet Care,TikTok,Twitter/X,324622,Mid,0.049,5310.02,3.2,48580,Macao,25-34,Mixed,4.0,2018-09-29
CRE0009,wongjacob,Food & Cooking,Instagram,Twitter/X,456768,Mid,0.0316,3496.15,4.5,66797,Sao Tome and Principe,18-24,Mixed,5.3,2024-03-28
CRE0010,hherrera,Business & Entrepreneurship,Substack,LinkedIn,48469,Micro,0.473,1762.92,0.5,5519,Greece,35-44,Mixed,5.6,2023-11-29
CRE0011,wcurry,Food & Cooking,Substack,Instagram,93748,Micro,0.3602,2476.03,4.5,11364,Mayotte,18-24,Mixed,2.9,2018-06-08
CRE0012,xwhite,Food & Cooking,TikTok,Instagram,936032,Macro,0.0594,15021.43,0.9,125560,Israel,18-24,Female,5.4,2018-12-29
CRE0013,ezhang,Pet Care,Instagram,Substack,72296,Micro,0.041,741.77,3.7,3436,South Africa,25-34,Mixed,2.9,2025-07-03
CRE0014,adam22,Music & Audio Production,LinkedIn,Instagram,736708,Macro,0.0235,2920.61,1.0,16748,French Polynesia,25-34,Mixed,2.3,2019-01-05
CRE0015,joshuawilliams,Technology & Software,Instagram,Twitter/X,14117,Micro,0.0376,85.08,2.1,525,Togo,45+,Female,5.7,2022-10-13
CRE0016,jacksonoscar,Education & Online Courses,YouTube,Twitter/X,66498,Micro,0.0364,502.77,4.0,7632,British Indian Ocean Territory (Chagos Archipelago),18-24,Female,3.4,2022-01-08
CRE0017,blaketimothy,Food & Cooking,Instagram,TikTok,80292,Micro,0.0246,478.75,7.1,2392,Russian Federation,18-24,Female,4.9,2024-04-12
CRE0018,gabrieltaylor,Finance & Investing,YouTube,Twitter/X,944960,Macro,0.044,5938.0,4.1,45156,Switzerland,45+,Female,2.0,2018-03-29
CRE0019,hstone,Comedy & Entertainment,TikTok,Substack,911633,Macro,0.0419,14971.14,5.5,75909,Indonesia,25-34,Male,2.3,2018-11-15
CRE0020,newmananita,Pet Care,YouTube,Twitter/X,129971,Mid,0.0435,466.54,4.3,17007,Central African Republic,25-34,Female,6.8,2019-02-12
CRE0021,jenniferwalker,Gaming & Esports,YouTube,Substack,454005,Mid,0.0479,7665.51,2.3,44169,Qatar,18-24,Male,4.9,2024-07-22
CRE0022,megan18,Personal Development,TikTok,LinkedIn,607090,Macro,0.046,7708.83,2.3,43377,Antigua and Barbuda,35-44,Male,2.9,2019-01-12
CRE0023,wvalenzuela,Finance & Investing,LinkedIn,TikTok,395170,Mid,0.0279,2088.17,1.5,25832,Sierra Leone,18-24,Female,3.2,2019-12-27
CRE0024,brownmariah,Language Learning,Twitter/X,Substack,420695,Mid,0.0199,5971.51,0.6,53101,Russian Federation,35-44,Mixed,1.6,2019-09-22
CRE0025,zbarnett,Business & Entrepreneurship,YouTube,LinkedIn,889240,Macro,0.031,9375.5,2.0,91103,Macao,35-44,Mixed,3.9,2018-10-15
CRE0026,racheljohnson,Travel & Adventure,Substack,TikTok,245060,Mid,0.4147,3078.72,6.3,25198,France,35-44,Female,5.4,2024-05-27
CRE0027,tyleryoung,Science & Space,Twitter/X,YouTube,2232,Nano,0.0287,10.03,6.8,213,Cape Verde,25-34,Male,1.8,2021-09-03
CRE0028,stevenpruitt,Music & Audio Production,YouTube,Instagram,610140,Macro,0.0338,7200.9,3.2,56611,Gambia,45+,Mixed,5.5,2020-11-14
CRE0029,jenningsabigail,Gaming & Esports,Instagram,Twitter/X,512995,Macro,0.0452,7317.49,6.5,67883,Guyana,25-34,Male,2.0,2019-06-06
CRE0030,calebsmith,Comedy & Entertainment,YouTube,Twitter/X,616619,Macro,0.0646,4055.48,3.1,78106,Austria,25-34,Female,1.1,2020-05-20
CRE0031,tylerday,Comedy & Entertainment,TikTok,Twitter/X,19099,Micro,0.0742,279.96,5.6,2476,Argentina,35-44,Female,1.7,2021-02-22
CRE0032,laura34,Gaming & Esports,Twitter/X,Substack,2113446,Mega,0.019,5992.17,3.8,242435,American Samoa,35-44,Male,4.6,2023-12-14
CRE0033,xwalter,Food & Cooking,LinkedIn,Substack,599656,Macro,0.0247,1508.19,5.7,85291,Equatorial Guinea,25-34,Male,3.6,2025-08-31
CRE0034,williamsjohn,Parenting & Family,Twitter/X,TikTok,26334,Micro,0.0294,313.42,4.3,2809,New Zealand,35-44,Male,5.2,2024-06-07
CRE0035,vsingleton,Beauty & Fashion,Instagram,LinkedIn,298781,Mid,0.025,3045.75,3.5,38358,Haiti,35-44,Male,2.3,2024-09-20
CRE0036,armstrongelizabeth,Parenting & Family,LinkedIn,Twitter/X,454223,Mid,0.0105,2076.44,6.5,65761,Monaco,25-34,Mixed,1.5,2023-12-31
CRE0037,tmiller,Parenting & Family,YouTube,TikTok,893812,Macro,0.041,12685.46,0.7,46325,Uruguay,45+,Mixed,6.1,2019-01-13
CRE0038,alyssa88,Language Learning,LinkedIn,Twitter/X,801817,Macro,0.0314,4155.72,4.2,41468,Moldova,18-24,Female,5.7,2020-09-02
CRE0039,dpierce,Gaming & Esports,Substack,Instagram,126328,Mid,0.1679,1087.58,6.5,13489,Djibouti,35-44,Male,4.7,2023-11-17
CRE0040,bradleystacy,Science & Space,Twitter/X,LinkedIn,183444,Mid,0.0153,1995.93,3.9,21597,Sweden,35-44,Mixed,3.9,2020-11-24
CRE0041,yjackson,Business & Entrepreneurship,LinkedIn,YouTube,47450,Micro,0.0257,651.93,1.5,2375,Lao People's Democratic Republic,25-34,Mixed,2.3,2022-11-14
CRE0042,hopkinstroy,Science & Space,TikTok,Twitter/X,317985,Mid,0.0762,1469.45,3.4,38181,Sri Lanka,18-24,Mixed,3.3,2018-04-14
CRE0043,morganmorgan,Music & Audio Production,TikTok,Instagram,319687,Mid,0.0315,4203.33,4.2,17736,Norway,45+,Female,3.3,2025-09-19
CRE0044,diane89,Comedy & Entertainment,Substack,Twitter/X,71261,Micro,0.3977,3970.63,4.5,9826,El Salvador,18-24,Female,4.9,2019-09-27
CRE0045,pamelacontreras,Language Learning,Instagram,Twitter/X,59689,Micro,0.0296,415.79,2.6,8574,Cook Islands,45+,Male,6.0,2023-06-29
CRE0046,alyssawalker,Finance & Investing,Substack,YouTube,283480,Mid,0.5815,8195.62,6.4,29688,Chile,18-24,Female,2.2,2018-06-12
CRE0047,rossbruce,Beauty & Fashion,Instagram,LinkedIn,97747,Micro,0.0542,1002.38,6.3,4087,Korea,18-24,Female,6.8,2019-06-06
CRE0048,rachel81,Finance & Investing,TikTok,Instagram,296768,Mid,0.0888,3343.04,1.1,32579,British Virgin Islands,25-34,Female,5.2,2021-08-07
CRE0049,zcrane,Food & Cooking,Twitter/X,TikTok,282034,Mid,0.0114,845.02,0.6,21041,Grenada,45+,Female,3.6,2022-04-12
CRE0050,rhodges,Language Learning,Substack,TikTok,33086,Micro,0.4094,1573.82,5.1,4617,United States Minor Outlying Islands,45+,Male,3.6,2024-11-10
CRE0051,lharrell,Business & Entrepreneurship,TikTok,Twitter/X,935542,Macro,0.0733,10551.42,4.8,99976,Marshall Islands,35-44,Female,4.0,2021-11-11
CRE0052,johnhart,Gaming & Esports,LinkedIn,Substack,43862,Micro,0.0226,290.57,5.8,2452,American Samoa,18-24,Mixed,6.7,2019-03-06
