campaign_id,creator_id,campaign_type,niche,email_list_size,emails_sent,open_rate,click_rate,conversion_rate,unsubscribe_rate,revenue_generated_usd,revenue_per_email_usd,ai_generated_copy,send_date,send_day_of_week,subject_line_length,has_emoji_in_subject,sequence_number
EML0001,CRE0357,Weekly Newsletter,Business & Entrepreneurship,6216,6089,0.28,0.037,0.0024,0.0061,0.0,0.0,False,2025-05-12,Friday,49,True,1
EML0002,CRE0528,Abandoned Cart Recovery,Home Decor & Interior Design,12891,12192,0.378,0.048,0.0082,0.007,2198.61,0.94,True,2025-05-02,Tuesday,71,True,5
EML0003,CRE0115,Abandoned Cart Recovery,Science & Space,7986,7562,0.597,0.152,0.0209,0.0113,74352.33,10.26,False,2026-02-14,Friday,67,True,5
EML0004,CRE0158,Re-engagement,Parenting & Family,4573,4420,0.188,0.053,0.0102,0.0116,0.0,0.0,True,2025-09-18,Monday,75,False,5
EML0005,CRE0267,Promotional Offer,Sustainable Living,7731,7482,0.339,0.077,0.0134,0.0031,5267.04,2.61,True,2025-04-13,Wednesday,50,False,5
EML0006,CRE0078,Product Launch,Beauty & Fashion,8186,7541,0.407,0.063,0.0085,0.0149,7829.17,3.73,True,2025-08-08,Tuesday,49,True,1
EML0007,CRE0004,Weekly Newsletter,Parenting & Family,8144,8126,0.243,0.037,0.0059,0.0077,0.0,0.0,True,2025-09-23,Friday,74,True,3
EML0008,CRE0486,Abandoned Cart Recovery,Personal Development,9258,9044,0.596,0.145,0.0248,0.011,65526.25,8.19,False,2025-10-31,Thursday,58,True,1
EML0009,CRE0028,Re-engagement,Technology & Software,3508,3459,0.134,0.014,0.0026,0.0138,0.0,0.0,True,2025-06-27,Friday,36,False,5
EML0010,CRE0235,Product Launch,Food & Cooking,7011,6709,0.458,0.129,0.0079,0.0137,18764.34,4.53,True,2025-10-26,Tuesday,48,False,2
EML0011,CRE0406,Promotional Offer,Sustainable Living,9141,8580,0.231,0.055,0.0088,0.0094,6073.93,5.23,True,2025-08-09,Wednesday,43,True,2
EML0012,CRE0018,Re-engagement,Music & Audio Production,1301,1229,0.236,0.07,0.0051,0.0145,0.0,0.0,True,2025-08-16,Tuesday,59,False,4
EML0013,CRE0175,Promotional Offer,Business & Entrepreneurship,8831,8130,0.302,0.042,0.0035,0.0038,1108.92,0.99,True,2025-04-21,Tuesday,53,True,4
EML0014,CRE0293,Product Launch,Home Decor & Interior Design,1718,1714,0.496,0.16,0.0294,0.0055,2495.03,1.83,True,2025-07-21,Wednesday,70,False,5
EML0015,CRE0337,Product Launch,Gaming & Esports,1444,1389,0.332,0.097,0.0181,0.0052,4143.38,8.91,True,2025-11-03,Tuesday,71,False,5
EML0016,CRE0433,Re-engagement,Technology & Software,5565,5145,0.136,0.042,0.0056,0.0106,0.0,0.0,True,2025-10-05,Thursday,69,True,4
EML0017,CRE0073,Abandoned Cart Recovery,Gaming & Esports,811,758,0.618,0.148,0.0077,0.01,7721.86,10.41,False,2026-01-26,Monday,65,True,3
EML0018,CRE0113,Re-engagement,Personal Development,10617,9864,0.239,0.059,0.0055,0.0028,0.0,0.0,True,2025-10-29,Friday,51,True,1
EML0019,CRE0204,Product Launch,Science & Space,2668,2654,0.33,0.097,0.009,0.0071,1588.49,1.86,False,2025-10-10,Tuesday,36,True,4
EML0020,CRE0459,Abandoned Cart Recovery,Travel & Adventure,12560,11815,0.324,0.081,0.0125,0.0096,13020.17,3.95,False,2025-05-16,Wednesday,67,True,5
EML0021,CRE0245,Product Launch,Education & Online Courses,3652,3581,0.33,0.115,0.0076,0.0038,5723.91,4.13,False,2025-11-21,Thursday,53,False,3
EML0022,CRE0135,Re-engagement,Language Learning,7604,7598,0.209,0.036,0.0046,0.0015,0.0,0.0,False,2025-11-06,Friday,63,True,5
