launch_id,creator_id,product_name,niche,product_type,price_usd,follower_tier,email_list_size,used_email_launch_sequence,number_of_launch_emails,ai_generated_emails,launch_duration_days,units_sold,gross_revenue_usd,cart_abandonment_rate,cart_recovery_rate,recovery_revenue_usd,total_revenue_usd,refund_rate,affiliate_partners,affiliate_revenue_usd,launch_date,platform_promoted_on
LNC0001,CRE0513,Lab Notebook Template,Science & Space,Template,127,Micro,4857,True,3,False,3,126,16014.27,0.72,0.085,980.07,16994.34,0.068,3,1627.91,2025-12-17,TikTok
LNC0002,CRE0318,Makeup Masterclass,Beauty & Fashion,Guide,67,Nano,765,True,7,False,3,10,682.94,0.552,0.054,20.36,703.3,0.079,8,181.68,2025-11-10,YouTube
LNC0003,CRE0265,Study Cards Pack,Science & Space,Guide,37,Micro,5081,True,3,True,3,207,7681.95,0.618,0.076,360.81,8042.76,0.041,17,1600.79,2026-01-25,Substack
LNC0004,CRE0430,Green Home Guide,Sustainable Living,Preset Pack,197,Micro,1958,True,6,False,10,88,17502.87,0.637,0.034,379.08,17881.95,0.035,16,4919.86,2026-01-14,Twitter/X
LNC0005,CRE0065,Cold Email Scripts,Business & Entrepreneurship,eBook,37,Macro,42463,True,5,False,3,1926,71269.49,0.643,0.053,2428.79,73698.28,0.049,2,8650.21,2026-01-11,TikTok
LNC0006,CRE0073,Cat Behaviour PDF,Pet Care,Template,97,Micro,2727,True,3,True,3,58,5650.11,0.783,0.081,358.35,6008.46,0.038,14,1259.93,2025-07-05,Instagram
LNC0007,CRE0472,Editing Course,Photography & Videography,Course,197,Nano,241,True,4,True,10,10,2113.31,0.777,0.09,147.78,2261.09,0.064,7,287.69,2025-06-26,YouTube
LNC0008,CRE0280,Flight Deal Tracker,Travel & Adventure,Guide,127,Mid,36425,True,3,False,3,1306,165986.13,0.798,0.07,9271.99,175258.12,0.054,11,36231.91,2025-07-06,LinkedIn
LNC0009,CRE0004,Activity Ideas Bundle,Parenting & Family,Guide,127,Micro,4146,True,7,True,5,196,24926.51,0.642,0.039,624.11,25550.62,0.041,15,5148.69,2024-12-22,TikTok
LNC0010,CRE0559,VS Code Setup Guide,Technology & Software,Preset Pack,17,Micro,2163,False,0,False,7,103,1764.38,0.671,0.01,11.84,1776.22,0.015,15,71.84,2024-09-06,Twitter/X
LNC0011,CRE0528,Cold Email Scripts,Business & Entrepreneurship,Preset Pack,127,Mid,19572,True,5,False,5,512,65140.04,0.78,0.089,4522.02,69662.06,0.068,14,3816.34,2024-09-12,Substack
LNC0012,CRE0516,Vet Visit Checklist,Pet Care,Bundle,197,Mid,17562,False,0,False,5,696,137170.08,0.707,0.01,969.79,138139.87,0.016,4,40817.35,2025-12-24,Substack
LNC0013,CRE0032,Study System PDF,Education & Online Courses,eBook,197,Micro,9641,False,0,False,14,102,20108.25,0.721,0.01,144.98,20253.23,0.023,8,1070.15,2025-12-19,YouTube
LNC0014,CRE0054,Activity Ideas Bundle,Parenting & Family,Preset Pack,17,Micro,2117,True,5,True,14,70,1206.27,0.686,0.053,43.86,1250.13,0.017,5,361.01,2024-12-20,Twitter/X
LNC0015,CRE0531,Style Bundle,Beauty & Fashion,Template,297,Macro,34380,True,7,True,7,387,115207.54,0.627,0.037,2672.7,117880.24,0.07,20,34439.44,2024-11-05,LinkedIn
